english	jl	gjl	human	mass	animals	time	deriv	disyllabic
thebeehive1	bikupe	f	not	not	not	not	not	e
theplot3	baktanke	m	not	not	not	not	not	e
thehill	bakke	m	not	not	not	not	not	e
thework1	anntime	m	not	not	not	not	not	e
thefairyorelf3	aeLve	f	not	not	not	not	not	e
theyolk	aegguLe	f	not	not	not	not	not	e
theoar	aaure	f	not	not	not	not	not	e
thecarcass1	aashle	m	not	not	not	not	not	e
thecamp1	baasu	f	not	not	not	not	not	u
theversion	version	m	not	not	not	not	ion	not
thetradition	tradition	m	not	not	not	not	ion	not
thestation	station	m	not	not	not	not	ion	not
thesection	sektion	m	not	not	not	not	ion	not
thereligion	releon	m	not	not	not	not	ion	not
theportion	portion	m	not	not	not	not	ion	not
thediscussion1	diskussion	m	not	not	not	not	ion	not
thetattoo	tatuering	f	not	not	not	not	ingv	not
thearmour	rustning	f	not	not	not	not	ingv	not
thebill	rekning	f	not	not	not	not	ingv	not
thegovernment	regering	f	not	not	not	not	ingv	not
theearthquake	joLbevning	f	not	not	not	not	ingv	not
thediscussion2	dividering	f	not	not	not	not	ingv	not
thepenaltyorpunishment2	bestraffning	f	not	not	not	not	ingv	not
thefortress1	borg	m	not	not	not	not	ingv	not
thecause1	anledning	f	not	not	not	not	ingv	not
thewitch2	trollkering	f	not	not	not	not	ingna	not
thenewspaper2	tining	m	not	not	not	not	ingna	not
thethumb	taamLing	m	not	not	not	not	ingna	not
thecoin1	scheling	m	not	not	not	not	ingna	not
thepenaltyorpunishment3	juling	m	not	not	not	not	ingna	not
thequeen	drottning	f	not	not	not	not	ingna	not
thebeauty	skoenheit	f	not	not	not	not	heit	not
thepersonality	personleheit	f	not	not	not	not	heit	not
thefreedom	friheit	f	not	not	not	not	heit	not
theunit	einheit	f	not	not	not	not	heit	not
thestupidity	dumheit	f	not	not	not	not	heit	not
thedistinction	utmarsels	f	not	not	not	not	els	not
themanagement	styrels	f	not	not	not	not	els	not
themovement	roerels	f	not	not	not	not	els	not
theexperience	opplaevels	f	not	not	not	not	els	not
thehappening	haennels	f	not	not	not	not	els	not
thestory	beraettels	f	not	not	not	not	els	not
thegrief2	bedroevels	f	not	not	not	not	els	not
thepastry	bakels	f	not	not	not	not	els	not
thewisdom	visdom	m	not	not	not	not	dom	not
thelearning	lerdom	m	not	not	not	not	dom	not
theproperty	egendom	m	not	not	not	not	dom	not
thepostorpole	peLar	m	not	not	not	not	arphon	not
themaster	maestar	m	not	not	not	not	arphon	not
thehammer	hammar	m	not	not	not	not	arphon	not
thecup	begar	m	not	not	not	not	arphon	not
theanchor	ankar	n	not	not	not	not	arphon	not
thealtar	alhtar	n	not	not	not	not	arphon	not
thekettle1	vasskokar	m	not	not	not	not	ar	not
theteacher	lerar	m	not	not	not	not	ar	not
theghost3	geingaangar	m	not	not	not	not	ar	not
themerchant	hannlar	m	not	not	not	not	ar	not
thefisherman	fischar	m	not	not	not	not	ar	not
themorning	mora	m	not	not	not	time	not	a
thehour	time	m	not	not	not	time	not	e
theclock	kLaakke	f	not	not	not	time	not	e
thetime3	foeuke	f	not	not	not	time	not	e
thewinter	vinter	m	not	not	not	time	not	not
thespring	vaaur	m	not	not	not	time	not	not
Thursday	torsdag	m	not	not	not	time	not	not
Tuesday	tissdag	m	not	not	not	time	not	not
thetime1	ti	f	not	not	not	time	not	not
thetime2	staann	f	not	not	not	time	not	not
Sunday	s?ndag	m	not	not	not	time	not	not
Wednesday	onsdag	m	not	not	not	time	not	not
themidday	medag	m	not	not	not	time	not	not
Monday	maandag	m	not	not	not	time	not	not
Saturday	loeudag	m	not	not	not	time	not	not
theevening	kvaell	m	not	not	not	time	not	not
theautumnfall	hoest	m	not	not	not	time	not	not
Friday	fredag	m	not	not	not	time	not	not
theafternoon2	etmeda	m	not	not	not	time	not	not
theage	epok	m	not	not	not	time	not	not
theday	dag	m	not	not	not	time	not	not
theseason	aaursti	f	not	not	not	time	not	not
thesummer	sommar	m	not	not	not	time	arphon	not
theturtle	skoeldpadda	f	not	not	animal	not	not	a
