english	jl	gjl	human	mass	animals	time	deriv	disyllabic
thesquirrel1	ekorr	m	not	not	animal	not	not	not
thebear	bjenn	m	not	not	animal	not	not	not
thebeaver2	bever	m	not	not	animal	not	not	not
thealligator	alligator	m	not	not	animal	not	not	not
theelkmoose	aeLg	m	not	not	animal	not	not	not
theeel	aauL	m	not	not	animal	not	not	not
thecentipede	tusenfoting	m	not	not	animal	not	ingna	not
thechicken	kykkLing	m	not	not	animal	not	ingna	not
thewasp	geiting	m	not	not	animal	not	ingna	not
thetick	faesting	m	not	not	animal	not	ingna	not
